神农本草经药名	app药名	神农原文性味	app现代性味	对比
丹砂	朱砂	味甘微寒	甘，微寒，有毒	≈
朴消	芒硝	味苦寒無毒	咸、苦，寒	≈
消石	芒硝	味苦寒	咸、苦，寒	≈
委萎	玉竹	味甘平	甘，微寒	≠
菖蒲	石菖蒲	味辛溫	辛、苦，温	≠
甘草	甘草	味甘平	甘，平	≈
牛膝	牛膝	味苦（酸）平	苦、甘、酸，平	≈
升麻	升麻	味甘平	辛、微甘，微寒	≠
木香	木香	味辛溫	辛、苦，温	≠
蛇床子	蛇床子	味苦平	辛、苦，温；有小毒	≠
茯苓	茯苓	味甘平	甘、淡，平	≈
杜仲	杜仲	味辛平	甘，温	≠
桑上寄生	桑寄生	味苦平	苦、甘，平	≈
秦艽	秦艽	味苦平	辛、苦，平	≈
葛根	葛根	味甘平	甘、辛，凉	≠
知母	知母	味苦寒無毒	苦、甘，寒	≈
白芷	白芷	味辛溫	辛，温	≠
紫草	紫草	味苦寒	甘、咸，寒	≠
紫菀	紫菀	味苦溫	辛、苦，温	≠
茅根	白茅根	味甘寒	甘，寒	≈
地榆	地榆	味苦微寒	苦、酸、涩，微寒	≈
海藻	海藻	味苦寒	苦、咸，寒	≈
桔梗	桔梗	味苦無毒	苦、辛，平	≠
旋覆花	旋覆花	味鹹溫	苦、辛、咸，微温	≠
厚朴	厚朴	味苦溫無毒	苦、辛，温	≠
山茱萸	山茱萸	味酸無毒	酸、涩，微温	≈
桑根白皮	桑白皮	味甘寒	甘，寒	≈
蜚虻	虻虫	味苦微寒	苦，微寒，有小毒	≈
牡丹	牡丹皮	味辛寒	苦、辛，微寒	≈
甘遂	甘遂	味苦寒有毒	苦，寒，有毒	≈
附子	附子	味辛溫有毒	辛、甘，大热，有毒	≠
半夏	半夏	味辛平	辛，温，有毒	≠
白及	白及	味苦平	苦、甘、涩，微寒	≠
蜀椒	花椒	味辛溫	辛，温	≠
水蛭	水蛭	味鹹平	咸、苦，平，有小毒	≠
