药名	原文字句	规范化性味
玉泉	味甘平	平，甘
丹砂	味甘微寒	微寒，甘
水銀	味辛寒	寒，辛
空青	味甘寒	寒，甘
曾青	味酸小寒	寒，酸
白青	味甘平	平，甘
雲母	味甘平	平，甘
朴消	味苦寒無毒	寒，苦
消石	味苦寒	寒，苦
礬石	味酸寒	寒，酸
滑石	味甘寒	寒，甘
紫石	味甘平	平，甘
白石英	味甘微溫	甘
青石赤石黃石白石黑石脂等	味甘平	平，甘
太一禹余糧	味甘平	平，甘
禹余糧	味甘寒	寒，甘
雄黃	味苦平	平，苦
青芝	味酸平	平，酸
赤芝	味苦平	平，苦
黃芝	味甘平	平，甘
白芝	味辛平	平，辛
黑芝	味鹹平	平
紫芝	味甘溫	甘
天門冬	味苦平，主治諸暴風濕偏痹，強骨隨，殺三蟲，去伏屍	平，苦
朮	味苦溫	苦
委萎	味甘平	平，甘
乾地黃	味甘寒	寒，甘
菖蒲	味辛溫	辛
遠志	味苦溫	苦
澤瀉	味甘寒	寒，甘
署豫	味甘小溫	甘
鞠華	味苦平	平，苦
甘草	味甘平	平，甘
人參	味甘小寒	寒，甘
石斛	味甘平	平，甘
石龍芮	味苦平	平，苦
牛膝	味苦（酸）平	平，苦、酸
獨活	味苦平無毒	平，苦
升麻	味甘平	平，甘
茈胡	味苦平	平，苦
防葵	味辛寒	寒，辛
著實	味苦平	平，苦
奄閭子	味苦小溫無毒	苦
薏苡人	味甘微寒	微寒，甘
車前子	味甘寒無毒	寒，甘
析蓂子	味辛酸溫無毒	辛、酸
充蔚子	味辛微寒	微寒，辛
木香	味辛溫	辛
龍膽	味苦澀	苦、澀
菟絲子	味辛平	平，辛
巴戟天	味辛微溫	辛
白莫	味甘寒	寒，甘
白蒿	味甘平	平，甘
地膚子	味苦寒	寒，苦
石龍芻	味苦微寒	微寒，苦
落石	味苦溫.主治風熱死肌，癰傷，口乾舌焦，癰腫不消，喉舌腫，水漿不下	苦
黃連	味苦無毒	苦
王不留行	味苦平	平，苦
藍實	味苦寒	寒，苦
景天	味苦酸平	平，苦、酸
天名精	味甘寒	寒，甘
蒲黃	味甘平，主治心腹膀胱寒熱，利小便，止血，消瘀血	平、寒熱，甘
香蒲	味甘平，主治五臟心下邪氣，口中爛臭，堅齒、明目、聰耳	平，甘
蘭草	味辛平	平，辛
決明子	味鹹平	平
雲實	味辛小溫	辛
黃芪	味甘微溫	甘
蛇床子	味苦平	平，苦
漏蘆	味苦鹹寒	寒，苦
茜根	味苦寒	寒，苦
旋華	味甘溫	甘
白兔藿	味苦平	平，苦
青蘘	味甘寒	寒，甘
當歸	味甘溫無毒	甘
茯苓	味甘平	平，甘
松脂	味苦溫	苦
柏實	味甘平	平，甘
箘桂	味辛溫	辛
牡桂	味辛溫	辛
杜仲	味辛平	平，辛
蔓荊實	味苦微寒	微寒，苦
女貞實	味苦平	平，苦
桑上寄生	味苦平	平，苦
蘇核	味甘平無毒	平，甘
